Data_ID,User_ID,Gender,Age,MBTI,Q_number,Answer
1,1,1,30,INFP,1,<아니다> 어릴 때 왕따 당한 경험이 있고 외부 활동을 좋아하지 않기 때문에 소수의 친구와만 지냅니다.
2,1,1,30,INFP,2,<중립>  다양한 관심사를 탐구하진 않지만 대체로 자연과 역사에 관련된 것을 좋아하며 요즘은 새에 관심이 조금 있습니다. 흥미가 있어도 관심도가 오래가진 않아 중립으로 하였습니다.
3,1,1,30,INFP,3,<그렇다> 감정 이입이 잘되어 코미디 영화에서 사람이 울고 있을 때도 울기 때문에 영화관도 잘 가지 않습니다. 머리로는 안 울고 싶은데 이미 울고 있어서 당황스러울 때가 많습니다.
4,1,1,30,INFP,4,<중립> 대비책을 세우긴 하는데 세우다가 마는 편입니다. 일의 변수가 생길 수 있고 변수가 생길 때 세워둔 대책이 없으면 머릿속이 하얘져서 대처하기 힘들기 때문입니다. 하지만 너무 많은 변수를 생각하다가 귀찮아져서 대비책을 세우는 것을 중간에 그만둡니다.
5,1,1,30,INFP,5,<아니다> 평정심을 유지 못 하는 편입니다. 머릿속은 백지화가 된 상태로 말도 제대로 못합니다. 면접을 볼 때 화상 면접이었는데도 스스로 더한 압박감을 느껴 연습할 때 보다 훨씬 말하지 못했습니다.
6,1,1,30,INFP,6,<그렇다> 저는 파티나 행사에 간 적이 거의 없으며 간다고 가정을 하면 알고 있는 사람과 대화하는 편입니다. 이유는 모르는 사람에게 자신을 소개하는 것이 부담스럽습니다.
7,1,1,30,INFP,7,<아니다> 저는 여러 가지 프로젝트를 문어발식으로 조금씩 시작하여 진행이 잘 되는 프로젝트를 먼저 끝내는 방식으로 일을 합니다. 학교 다닐 때 과제가 여러 개가 있으면 하나를 하다가 집중력이 떨어지거나 막히는 일이 있을 때 다른 과제로 옮겨가는 식으로 하였습니다.
8,1,1,30,INFP,8,<그렇다> 매우 감상적인 편입니다. 책이나 드라마 영화 등 매체를 볼 때 무언가 다치거나 아프면 굉장히 슬퍼하고 우울해합니다.
9,1,1,30,INFP,9,"<중립> 계획 세우는 일을 좋아하진 않지만, 여행 계획은 시간 단위로 세세하게 세웁니다. 많이 나가지 않다 보니 그 여행지에 어떤 것이 있는지 놓치고 싶지 않고 더 알차게 보내고 싶어서입니다. 다이어리는 사지만 쓰다가 안 쓰는 것을 반복하는 편입니다."
10,1,1,30,INFP,10,<중립> 가끔 집안 가게에서 매대를 보는데 계산 실수를 할 때가 있습니다. 그럴 때면 그럴 수도 있지 되뇌면서도 그 실수한 것이 머릿속에서 떠나질 않습니다.
11,1,1,30,INFP,11,<아니다> 어렵습니다. 친해지고 싶은 사람이 있으면 말을 걸때 어떻게 걸지 시뮬레이션을 하고 말을 했었습니다.
12,1,1,30,INFP,12,<아니다> 다양한 해석에 관해 토론하는 것을 보는 것은 좋아하지만 제가 직접 토론하는 것은 귀찮기도 하고 제가 말을 잘 하지 못하기 때문에 싫어합니다.
13,1,1,30,INFP,13,<중립> 저는 감정을 따를 때도 있고 이성을 따를 때도 있습니다. 주변의 평가도 비슷하고요.
14,1,1,30,INFP,14,<중립> 계획을 세우면 그 계획에서 벗어나는 것에 스트레스를 받기 때문에 즉흥적으로 하는 것을 좀 더 좋아합니다. 하지만 세세하진 않아도 대략적인 계획을 세우고 나갈 때가 많습니다.
15,1,1,30,INFP,15,<중립> 어떤 사람으로 보일지 걱정하지만 사람들은 생각보다 다른 사람에게 관심 없다고 스스로를 세뇌하는 편입니다. 제가 다른 사람에게 관심이 많이 없기 때문입니다.
16,1,1,30,INFP,16,<아니다> 단체 활동에 참여해서는 즐겁지만 나갔다 오면 힘들기 때문에 잘 참여하지 않습니다. 요즘은 집 밖을 잘나가지 않아 단체 활동에 참여한 적이 없습니다.
17,1,1,30,INFP,17,<아니다> 결말이 여러 가지로 해석되는 열린 결말을 좋아하지 않습니다. 뭔가 끝나지 않은 것 같고 찝찝합니다. 때문에 닫힌 결말을 좋아하며 드라마의 해피니스나 웹툰 사내 맞선 좋아했습니다.
18,1,1,30,INFP,18,<중립> 둘 다 똑같이 좋을 것 같습니다. 남의 성공을 돕는 것도 굉장히 뿌듯하겠지만 제가 성공하는 것도 중요하기 때문입니다.
19,1,1,30,INFP,19,<그렇다> 관심사가 여러 개 있었지만 깊게 관심이 있진 않아 오히려 무엇에 집중해야 하는지 모를 때가 있었습니다. 최근 가족 여행을 계획했는데 가고 싶은 곳이 많아 갈 곳을 정하고도 고민 중입니다.
20,1,1,30,INFP,20,<아니다> 한 번쯤은 생각하지만 많이 걱정하진 않습니다. 걱정을 너무하면 일이 진행되지 않기 때문입니다.
21,1,1,30,INFP,21,<중립> 굉장히 하고 싶으면서도 하고 싶지 않습니다. 지도자 역할을 맡으면 자신이 인정받는 것 같아서 좋지만 그만큼의 책임이 따르기 때문입니다.
22,1,1,30,INFP,22,<아니다> 아름다운 것을 좋아하고 그림 그리는 것 보는 것도 조각하는 것도 좋아합니다. 초중고 때 미술 과목에서 그리거나 조각하고 만드는 것을 좋아했습니다.
23,1,1,30,INFP,23,"<중립> 감정 때문에 싸움이 나기도 하지만 감정 때문에 측은지심으로 남을 돕기도 하며, 이성 때문에 손해를 보지 않기 위해 남에게 손해를 끼치지만 이성 때문에 자신의 득을 위해 좋은 일을 하기도 합니다. 때문에 감정과 이성 모두 중요하다 생각합니다."
24,1,1,30,INFP,24,<아니다> 전 휴식을 먼저 취합니다. 이미 에너지가 바닥난 상태이기 때문에 집안일을 하기 위한 에너지를 보충하는 시간이 필요합니다.
25,1,1,30,INFP,25,<그렇다> 다른 관점에서 다양한 시각으로 생각할 수 있어서 즐겁습니다. 다만 극에 달한 사고방식으로 자기주장만 하는 것은 좋아하지 않습니다.
26,1,1,30,INFP,26,<그렇다> 내면에는 주의를 끌고 싶은 마음이 있지만 저 자신의 에너지가 적어 다른 사람과 관계 맺는 것이 피곤하기 때문에 주의를 끌지 않으려고 합니다.
27,1,1,30,INFP,27,<그렇다> 감정이 극과 극으로 빠르게 변할 수 있습니다. 맛있는 것을 먹고 굉장히 기분이 좋다가도 기분 좋지 않은 소리를 들었을 때 바닥으로 내려갑니다.
28,1,1,30,INFP,28,<그렇다> 이렇게 하면 더 효율적이다고 말했을 때 받아들이는 선이면 짜증 나지 않지만 받아들이지 않고 특별한 이유 없이 자기 생각만 밀고 나가면 짜증이 납니다. 다른 사람이 사는 곳에 고기가 싼 곳이 있는데도 훨씬 비싼 고기를 자신이 사야 한다고 계속 말해서 짜증이 났습니다.
29,1,1,30,INFP,29,<그렇다> 해야 할 일을 생각만 하다가 마지막에 우르르 끝내는 경우가 많습니다. 최근에도 이력서를 넣을지 말지 고민하다가 끝내 넣지 않았습니다.
30,1,1,30,INFP,30,<그렇다> 흥미롭습니다. 내가 죽은 뒤 아무것도 없기를 바라지만 귀신을 본다는 사람도 있고 문화권마다 다른 사후세계가 재미있기 때문입니다
31,1,1,30,INFP,31,<아니다> 저 자신의 에너지가 부족하기 때문에 다른 사람과 시간을 보내면 정신적으로도 육체적으로도 힘들어서 혼자 보내는 것을 더 선호합니다. 요즘도 혼자 있는 게 더 좋습니다
32,1,1,30,INFP,32,<그렇다> 이론은 얼마든지 바뀔 수 있으며 옛날에는 위대한 발견이라며 노벨상 받았던 것도 바뀌는 시대이기에 이론 중심의 토론은 관심이 별로 없습니다.
33,1,1,30,INFP,33,<그렇다> 감정 이입을 잘해서 다른 사람이 자신의 얘기를 할 때 그 감정에 공감이 많이 됩니다. 친구들이 얘기를 할 때 안 좋은 얘기를 하면 마음이 매우 무겁습니다.
34,1,1,30,INFP,34,<그렇다> 결정을 내려야 하면 여러 변수와 그로 인한 결과 등을 생각하느라 최선의 결정을 위해 최대한 미루는 편입니다.
35,1,1,30,INFP,35,<아니다> 최대한 고민하면서 결정을 내리지만 마지막까지 갈팡질팡하다 급하게 결정을 내리기 때문에 후회할 때도 많아 다시 생각하는 편입니다.
36,1,1,30,INFP,36,<아니다> 혼자만의 시간을 보내는 것이 더 좋습니다. 나가면 오히려 피로가 쌓이기 때문에 요즘에도 나가지 않습니다.
37,1,1,30,INFP,37,<그렇다> 아름다운 것을 좋아하기 때문에 미술관에 가는 일을 좋아합니다. 길 가다가 예술 작품이 있으면 어느 정도 살펴보는 편입니다.
38,1,1,30,INFP,38,<아니다> 이야기를 들어보면 이렇게 생각해서 이런 마음이 들었구나 생각이 들어서 감정을 이해하기 힘들 때는 별로 없습니다.
39,1,1,30,INFP,39,<아니다> 계획을 많이 세우긴 하지만 매일 세우는 것은 좋아하지 않습니다. 업무에서는 대략적인 계획은 필요하지만 머릿속으로만 간단하게 세울 뿐 세세히 세우진 않고 개인적인 일에서도 매일 세우진 않습니다
40,1,1,30,INFP,40,<아니다> 불안함을 느낄 때는 많습니다. 이렇게 살아도 되나 싶고 노후에 대한 불안함도 있고 건강에 대한 불안함도 있습니다. 오랜 기간 왕따 당했던 것이 제 자신에 대한 확신이 줄어들면서 계기가 된 것 같습니다.
41,1,1,30,INFP,41,<그렇다> 말을 잘 못하기 때문에 말실수를 할까 봐 피하고 싶습니다. 문자로 하는 것보다 생각할 시간이 적기 때문입니다.
42,1,1,30,INFP,42,<그렇다> 아주 많은 시간을 할애하는 편은 아니지만 노력하는 편입니다. 너무 다른 의견은 제가 놓치고 있는 부분이 있을 수도 있기 때문에 생각하다가 이유를 물어봅니다. 정치적인 견해가 다를 때 이해하기 위해 시간을 낸 적 있습니다.
43,1,1,30,INFP,43,<아니다> 대부분 친구가 먼저 만나자고 하면 가는 편입니다. 저는 연락을 대체로 먼저 하지 않습니다.
44,1,1,30,INFP,44,<그렇다> 차질이 생기면 그 부분만 다르게 하고 원래 계획으로 돌아가기 위해 노력합니다. 최근 여행 갔을 때 가려고 한 식당이 없어져 다른 곳에서 밥을 먹고 원래 계획대로 행동했습니다
45,1,1,30,INFP,45,<그렇다> 굉장히 오래전의 실수라 이젠 바뀔 수 없음에도 종종 후회합니다. 수능 끝나고 2주일 동안 잠만 잔 적 있는데 그때 근육이 많이 빠져 몸이 많이 약해져서 아직도 회복이 되지 않고 있기 때문입니다.
46,1,1,30,INFP,46,<그렇다> 인간의 존재는 자연에 해를 끼치고 있고 삶의 이유는 찾지 못했기 때문에 살기 위해 더 깊이 생각하지 않고 그냥 살아가고 있습니다.
47,1,1,30,INFP,47,<그렇다> 휘둘리는 편입니다. 기분이 좋지 않으면 일이 손에 잡히지도 않고 티가 많이 납니다. 주변도 비슷하게 생각합니다
